Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit,Attacks,Update
4,1,#Y2YQ8P0Q9,lunatic,14,394,3,0,4,11:07 06-Feb-2024
4,2,#29J2GYLC,®️lunatic®️,13,400,1,0,4,11:07 06-Feb-2024
4,3,#20VJ9V0UY,3Hours,13,356,2,0,4,11:07 06-Feb-2024
4,4,#GC22C0G2,Raven,11,291,3,0,3,11:07 06-Feb-2024
4,5,#G8CCCG0Q9,woofwentdog,9,321,2,0,4,11:07 06-Feb-2024
4,6,#RP99QCPG,Shinikigami,9,282,2,0,3,11:07 06-Feb-2024
4,7,#8CJ9Y2RJU,RaveN,9,267,1,0,3,11:07 06-Feb-2024
4,8,#2RYGYL9G,Podeido,9,237,2,0,3,11:07 06-Feb-2024
4,9,#LQ9PGUU8,我啊公家Grandpahome,9,237,2,0,3,11:07 06-Feb-2024
4,10,#202PU202,Brian,9,232,3,0,3,11:07 06-Feb-2024
4,11,#QCP0PPYU,我家MYHOUSE,8,259,2,0,3,11:07 06-Feb-2024
4,12,#JV09YLLV,SacredX,7,237,2,0,3,11:07 06-Feb-2024
4,13,#LL292PRC0,yishun,7,231,1,0,3,11:07 06-Feb-2024
4,14,#G82CYGJU8,harbourfront,5,256,0,0,3,11:07 06-Feb-2024
4,15,#9QJPVYC0,tengah,5,170,2,0,3,11:07 06-Feb-2024
4,16,#8PLG2LYJ0,Linlook,0,0,0,0,0,11:07 06-Feb-2024
4,17,#G0GGJC99V,niconicorobin,0,0,0,0,0,11:07 06-Feb-2024
4,18,#QVYRJYG2U,poochitaaa,0,0,0,0,0,11:07 06-Feb-2024
4,19,#QCYYJ8LLJ,我外婆家GrannyHouse,0,0,0,0,0,11:07 06-Feb-2024
4,20,#982J0Q9J,✨MVP✨,0,0,0,0,0,11:07 06-Feb-2024
4,21,#QCJVJRUCJ,Mr. Tess,0,0,0,0,0,11:07 06-Feb-2024
4,22,#QVUU9G09P,bedok,0,0,0,0,0,11:07 06-Feb-2024
4,23,#U8VRJYUC,seasaurus,0,0,0,0,0,11:07 06-Feb-2024
4,24,#GPU8RJ9G2,rookie,0,0,0,0,0,11:07 06-Feb-2024
4,25,#YVLLRJJV,Twinstar,0,0,0,0,0,11:07 06-Feb-2024
4,26,#VJJJVGY2,ACAP,0,0,0,0,0,11:07 06-Feb-2024
4,27,#QVQYQ2RQ8,tonytonychopper,0,0,0,0,0,11:07 06-Feb-2024
4,28,#G0ULGUUR2,Sacr3dX,0,0,0,0,0,11:07 06-Feb-2024
4,29,#QV0VGJ0J9,我啊妈家Grandmahaus,0,0,0,0,0,11:07 06-Feb-2024
4,30,#20CL2LQG,Lee Hsien Loong,0,0,0,0,0,11:07 06-Feb-2024
4,31,#Y282UQ80Q,Awkurtle,0,0,0,0,0,11:07 06-Feb-2024
4,32,#JYVJCQCG,Unicorn,0,0,0,0,0,11:07 06-Feb-2024
4,33,#8YQRU2UG,dessy,0,0,0,0,0,11:07 06-Feb-2024
4,34,#J8V0Q088,捐兵号,0,0,0,0,0,11:07 06-Feb-2024
4,35,#QQQJ8QCC9,Ghoul,0,0,0,0,0,11:07 06-Feb-2024
4,36,#G8QVLYYLL,JohnWeak,0,0,0,0,0,11:07 06-Feb-2024
4,37,#J9RQLJ0Q,BlackX,0,0,0,0,0,11:07 06-Feb-2024
4,38,#Q88UGCL29,Baconbanmi,0,0,0,0,0,11:07 06-Feb-2024
4,39,#G0RVVULRP,nutsiao,0,0,0,0,0,11:07 06-Feb-2024
4,40,#9UQGPRLYP,Halimah Yacob,0,0,0,0,0,11:07 06-Feb-2024
4,41,#QC8VYYR90,Daros Diastima,0,0,0,0,0,11:07 06-Feb-2024
4,42,#G8QL2L22Q,Ryewff,0,0,0,0,0,11:07 06-Feb-2024
4,43,#G9PJ2URGP,raven,0,0,0,0,0,11:07 06-Feb-2024
