Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit
14,1,#Y2YQ8P0Q9,lunatic,46,1322,8,0
14,2,#Y282UQ80Q,Awkurtle,43,1256,8,0
14,3,#GC22C0G2,Raven,41,1290,4,0
14,4,#2RYGYL9G,Podeido,41,1174,10,0
14,5,#20VJ9V0UY,3Hours,39,1134,8,0
14,6,#RP99QCPG,Shinikigami,38,1087,9,0
14,7,#202PU202,Brian,37,1236,4,0
14,8,#G8CCCG0Q9,woofwentdog,37,1185,7,0
14,9,#8CJ9Y2RJU,RaveN,36,1048,5,0
14,10,#LQ9PGUU8,我啊公家Grandpahome,35,1083,8,0
14,11,#G82CYGJU8,harbourfront,34,1067,5,0
14,12,#8PLG2LYJ0,Linlook,34,1009,8,0
14,13,#QVQYQ2RQ8,tonytonychopper,33,1064,6,0
14,14,#QCP0PPYU,我家MYHOUSE,30,1168,6,0
14,15,#JV09YLLV,SacredX,23,909,3,0
14,16,#9QJPVYC0,tengah,22,739,2,0
14,17,#QVYRJYG2U,poochitaaa,22,688,2,0
14,18,#QCYYJ8LLJ,我外婆家GrannyHouse,20,653,2,0
14,19,#QCJVJRUCJ,Mr. Tess,19,587,4,0
14,20,#U8VRJYUC,seasaurus,18,604,3,0
14,21,#LL292PRC0,yishun,17,680,0,2
14,22,#29J2GYLC,®️lunatic®️,17,657,0,1
14,23,#QVUU9G09P,bedok,17,626,2,0
14,24,#20CL2LQG,Lee Hsien Loong,16,594,0,1
14,25,#G0GGJC99V,niconicorobin,15,559,1,1
14,26,#982J0Q9J,✨MVP✨,8,466,0,4
14,27,#J9RQLJ0Q,BlackX,8,441,1,1
14,28,#9UQGPRLYP,Halimah Yacob,4,218,0,0
14,29,#VJJJVGY2,ACAP,0,0,0,0
14,30,#GPU8RJ9G2,rookie,0,0,0,0
14,31,#YVLLRJJV,Twinstar,0,0,0,0
14,32,#QV0VGJ0J9,我啊妈家Grandmahaus,0,0,0,0
14,33,#G0ULGUUR2,Sacr3dX,0,0,0,0
14,34,#J8V0Q088,捐兵号,0,0,0,0
14,35,#JYVJCQCG,Unicorn,0,0,0,0
14,36,#QQQJ8QCC9,Ghoul,0,0,0,0
14,37,#G8QVLYYLL,JohnWeak,0,0,0,0
14,38,#Q88UGCL29,Baconbanmi,0,0,0,0
14,39,#G0RVVULRP,nutsiao,0,0,0,0
14,40,#QC8VYYR90,Daros Diastima,0,0,0,0
14,41,#G8QL2L22Q,Ryewff,0,0,0,0
14,42,#G9PJ2URGP,raven,0,0,0,0
