Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit
7,1,#GC22C0G2,Raven,22,665,3,0
7,2,#Y2YQ8P0Q9,lunatic,21,622,4,0
7,3,#QVYRJYG2U,poochitaaa,19,600,1,0
7,4,#2RYGYL9G,Podeido,19,597,2,0
7,5,#QCJVJRUCJ,Mr. Tess,19,587,4,0
7,6,#20VJ9V0UY,3Hours,18,596,2,0
7,7,#Y282UQ80Q,Awkurtle,18,587,1,0
7,8,#8CJ9Y2RJU,RaveN,18,553,2,0
7,9,#8PLG2LYJ0,Linlook,18,523,5,0
7,10,#QCYYJ8LLJ,我外婆家GrannyHouse,17,583,1,0
7,11,#G8CCCG0Q9,woofwentdog,17,561,1,0
7,12,#LQ9PGUU8,我啊公家Grandpahome,17,537,1,0
7,13,#29J2GYLC,®️lunatic®️,16,588,0,1
7,14,#G82CYGJU8,harbourfront,16,573,0,0
7,15,#9QJPVYC0,tengah,16,567,1,0
7,16,#U8VRJYUC,seasaurus,16,548,2,0
7,17,#QVQYQ2RQ8,tonytonychopper,15,478,1,0
7,18,#LL292PRC0,yishun,14,580,0,2
7,19,#202PU202,Brian,14,541,0,0
7,20,#QVUU9G09P,bedok,14,540,1,0
7,21,#JV09YLLV,SacredX,14,522,2,0
7,22,#RP99QCPG,Shinikigami,14,451,2,0
7,23,#20CL2LQG,Lee Hsien Loong,13,494,0,1
7,24,#QCP0PPYU,我家MYHOUSE,13,489,2,0
7,25,#G0GGJC99V,niconicorobin,12,504,0,1
7,26,#982J0Q9J,✨MVP✨,8,466,0,4
7,27,#J9RQLJ0Q,BlackX,6,386,0,1
7,28,#9UQGPRLYP,Halimah Yacob,4,218,0,0
7,29,#8LRJ2CCU8,pasirris,0,0,0,0
7,30,#VJJJVGY2,ACAP,0,0,0,0
7,31,#YVLLRJJV,Twinstar,0,0,0,0
7,32,#J8V0Q088,捐兵号,0,0,0,0
7,33,#JYVJCQCG,Unicorn,0,0,0,0
7,34,#QGYQP9P92,babu trix,0,0,0,0
7,35,#QV0VGJ0J9,我啊妈家Grandmahaus,0,0,0,0
7,36,#GPU8RJ9G2,rookie,0,0,0,0
7,37,#G0ULGUUR2,Sacr3dX,0,0,0,0
7,38,#Q88UGCL29,Baconbanmi,0,0,0,0
7,39,#8R2PCGU0,dffff,0,0,0,0
7,40,#G8QVLYYLL,JohnWeak,0,0,0,0
7,41,#QC8VYYR90,Daros Diastima,0,0,0,0
7,42,#G8QL2L22Q,Ryewff,0,0,0,0
7,43,#G8Q8C02PG,Podeado,0,0,0,0
7,44,#G0RVVULRP,nutsiao,0,0,0,0
7,45,#G0RRJ0YJQ,bhread,0,0,0,0
7,46,#G9PJ2URGP,raven,0,0,0,0
7,47,#LLCYYUYQ0,Galadon,0,0,0,0
